"","InvoiceNo","TotalAmount","UniqueProducts","TransactionDate","CustomerID"
"4752","550242",65.28,8,2011-04-15,13117
"4753","550250",124.84,9,2011-04-15,18171
"4754","550251",299.82,19,2011-04-15,14323
"4755","550255",111.48,7,2011-04-15,13468
"4756","550264",120.8,8,2011-04-15,13426
"4757","550265",81.4,4,2011-04-15,17572
"4758","550272",59.35,10,2011-04-15,18079
"4759","550274",344.4,23,2011-04-15,15498
"4760","550275",242.82,14,2011-04-15,13993
"4761","550277",366.1,21,2011-04-15,12639
"4762","550279",530.95,35,2011-04-15,14700
"4763","550280",420.71,36,2011-04-15,13048
"4764","550282",141.68,9,2011-04-15,16686
"4765","550283",232.56,12,2011-04-15,18094
"4766","550284",142.16,11,2011-04-15,12383
"4767","550285",291.8,17,2011-04-15,15249
"4768","550286",100.8,4,2011-04-15,15027
"4769","550287",138.79,9,2011-04-15,14211
"4770","550288",168.4,34,2011-04-15,17367
"4771","550289",244.83,17,2011-04-15,13880
"4772","550290",328.15,21,2011-04-15,15246
"4773","550291",165.9,9,2011-04-15,13720
"4774","550292",58.85,7,2011-04-15,14527
"4775","550296",92.17,15,2011-04-15,13742
"4776","550297",288.83,40,2011-04-15,14056
"4777","550298",181.82,37,2011-04-15,17346
"4778","550299",15,2,2011-04-15,17389
"4779","550301",125.2,12,2011-04-17,17243
"4780","550302",364.94,23,2011-04-17,14156
"4781","550303",232.48,15,2011-04-17,18213
"4782","550304",230.98,15,2011-04-17,14092
"4783","550305",357.45,24,2011-04-17,17920
"4784","550307",27.04,1,2011-04-17,13854
"4785","550310",358.98,18,2011-04-17,15985
"4786","550311",102.44,29,2011-04-17,16728
"4787","550312",158.58,13,2011-04-17,13089
"4788","550313",292.85,21,2011-04-17,12681
"4789","550314",184.59,17,2011-04-17,16905
"4790","550315",176.84,13,2011-04-17,17990
"4791","550316",314.45,19,2011-04-17,16193
"4792","550317",346.4,25,2011-04-17,15172
"4793","550318",143.69,29,2011-04-17,16085
"4794","550319",133.61,14,2011-04-17,14524
"4795","550320",625.27,89,2011-04-17,12748
"4796","550321",124.98,38,2011-04-17,16770
"4797","550322",158.47,34,2011-04-17,14524
"4798","550323",277.32,22,2011-04-17,13692
"4799","550324",302.92,18,2011-04-17,12997
"4800","550325",302.85,18,2011-04-17,15745
"4801","550326",140.55,20,2011-04-17,14532
"4802","550327",509.21,27,2011-04-17,12878
"4803","550328",115.27,28,2011-04-17,17582
"4804","550329",303.49,20,2011-04-17,13951
"4805","550330",63.36,3,2011-04-17,15827
"4806","550331",290.52,99,2011-04-17,15555
"4807","550332",229.59,64,2011-04-17,13474
"4808","550333",293.95,18,2011-04-17,15410
"4809","550334",362.64,23,2011-04-17,17320
"4810","550335",118.85,12,2011-04-17,15535
"4811","550336",136.1,7,2011-04-17,13089
"4812","550337",2.1,1,2011-04-17,18037
"4813","550338",84.65,4,2011-04-17,12413
"4814","550339",299.35,18,2011-04-17,17697
"4815","550340",71.42,5,2011-04-17,13695
"4816","550341",284.84,17,2011-04-17,13018
"4817","550342",391.67,25,2011-04-17,13018
"4818","550343",72.6,4,2011-04-17,12971
"4819","550346",237.4,13,2011-04-18,16639
"4820","550347",282.94,17,2011-04-18,14227
"4821","550348",375.28,20,2011-04-18,16947
"4822","550350",704.02,43,2011-04-18,15491
"4823","550351",184.48,14,2011-04-18,15491
"4824","550352",225.72,28,2011-04-18,16719
"4825","550357",38.75,3,2011-04-18,16617
"4826","550359",252.78,52,2011-04-18,17841
"4827","550360",347.13,35,2011-04-18,14978
"4828","550361",197.4,13,2011-04-18,13082
"4829","550362",53.5,9,2011-04-18,13113
"4830","550364",152.2,8,2011-04-18,16713
"4831","550389",212.34,43,2011-04-18,17284
"4832","550408",501.84,33,2011-04-18,16746
"4833","550437",192.33,22,2011-04-18,16923
"4834","550438",712.24,42,2011-04-18,15265
"4835","550439",341.15,23,2011-04-18,18231
"4836","550440",229.86,11,2011-04-18,12407
"4837","550446",322.14,21,2011-04-18,13871
"4838","550447",355.83,51,2011-04-18,16033
"4839","550448",20.85,4,2011-04-18,16746
"4840","550449",16.35,1,2011-04-18,15199
"4841","550452",6.27,6,2011-04-18,14525
"4842","550453",60,2,2011-04-18,16226
"4843","550457",18.42,4,2011-04-18,13798
"4844","550459",189.98,48,2011-04-18,18116
"4845","550462",198,17,2011-04-18,16458
"4846","550464",484.25,63,2011-04-18,16550
"4847","550465",55.85,3,2011-04-18,16217
"4848","550467",257.34,32,2011-04-18,18009
"4849","550468",405.16,27,2011-04-18,16700
"4850","550469",178.41,31,2011-04-18,16399
"4851","550473",192.68,32,2011-04-18,14623
"4852","550477",656.45,91,2011-04-18,17338
"4853","550478",306.05,18,2011-04-18,15755
"4854","550479",507.53,31,2011-04-18,15625
"4855","550480",192.26,27,2011-04-18,13069
"4856","550481",45.75,8,2011-04-18,17634
"4857","550483",6.7,3,2011-04-18,16033
"4858","550487",164.62,10,2011-04-18,18219
"4859","550488",193.91,29,2011-04-18,16729
"4860","550490",258.35,15,2011-04-18,17054
"4861","550491",19.8,1,2011-04-18,16033
"4862","550492",187.75,11,2011-04-18,14180
"4863","550493",108.11,30,2011-04-18,15311
"4864","550495",172.28,13,2011-04-18,13769
"4865","550498",99.45,15,2011-04-18,14692
"4866","550503",311.42,18,2011-04-18,15508
"4867","550504",203.05,12,2011-04-18,16654
"4868","550512",391.9,109,2011-04-18,18069
"4869","550513",237.66,35,2011-04-18,16928
"4870","550514",209.58,12,2011-04-18,14631
"4871","550515",217.07,56,2011-04-18,14502
"4872","550517",426.67,24,2011-04-19,14352
"4873","550518",312.95,20,2011-04-19,16628
"4874","550519",463.18,29,2011-04-19,13141
"4875","550520",309.56,22,2011-04-19,16170
"4876","550521",389.84,22,2011-04-19,13647
"4877","550522",429.57,34,2011-04-19,12947
"4878","550523",267.91,15,2011-04-19,15594
"4879","550525",323.02,23,2011-04-19,14672
"4880","550526",283.74,19,2011-04-19,14309
"4881","550527",647.07,38,2011-04-19,12476
"4882","550528",157.27,9,2011-04-19,17663
"4883","550532",117.14,35,2011-04-19,14606
"4884","550535",155.6,9,2011-04-19,14211
"4885","550539",109.55,7,2011-04-19,13479
"4886","550560",142.2,8,2011-04-19,14242
"4887","550579",213.64,16,2011-04-19,13266
"4888","550606",41.6,2,2011-04-19,12594
"4889","550607",168.62,21,2011-04-19,16919
"4890","550612",110.3,20,2011-04-19,14662
"4891","550613",244,18,2011-04-19,16180
"4892","550615",263.32,22,2011-04-19,16730
"4893","550616",147.06,8,2011-04-19,15140
"4894","550617",290.3,19,2011-04-19,13376
"4895","550618",317.62,20,2011-04-19,14156
"4896","550619",84.3,5,2011-04-19,15717
"4897","550620",250.65,14,2011-04-19,12585
"4898","550621",171.01,47,2011-04-19,13263
"4899","550622",687.55,53,2011-04-19,13735
"4900","550623",80.7,5,2011-04-19,13719
"4901","550624",109.04,7,2011-04-19,14201
"4902","550625",47.4,3,2011-04-19,12619
"4903","550626",185.08,32,2011-04-19,13184
"4904","550627",412.12,25,2011-04-19,16633
"4905","550628",101.19,8,2011-04-19,13101
"4906","550629",169.36,9,2011-04-19,13782
"4907","550630",856.19,52,2011-04-19,14298
"4908","550631",374,22,2011-04-19,15225
"4909","550632",151.3,35,2011-04-19,16907
"4910","550633",300.09,45,2011-04-19,17449
"4911","550634",27.3,2,2011-04-19,14298
"4912","550635",54.96,3,2011-04-19,18173
"4913","550637",397.14,55,2011-04-19,14415
"4914","550639",314.51,29,2011-04-19,14152
"4915","550643",35.96,7,2011-04-19,18116
"4916","550644",242.1,19,2011-04-19,12733
"4917","550645",68.7,5,2011-04-19,16098
"4918","550649",25.5,1,2011-04-19,13134
"4919","550651",489.05,130,2011-04-19,15436
"4920","550655",48.05,8,2011-04-19,17217
"4921","550656",409.94,23,2011-04-20,17652
"4922","550657",37.6,2,2011-04-20,18198
"4923","550659",216.97,15,2011-04-20,17730
"4924","550661",180.3,10,2011-04-20,12656
"4925","550662",478.26,25,2011-04-20,15078
"4926","550663",36,2,2011-04-20,15078
"4927","550665",107.1,7,2011-04-20,12530
"4928","550666",299.99,19,2011-04-20,17719
"4929","550670",112.98,9,2011-04-20,17734
"4930","550673",79.6,5,2011-04-20,12971
"4931","550675",201.7,10,2011-04-20,15260
"4932","550701",105.75,6,2011-04-20,14905
"4933","550712",549.5,34,2011-04-20,15159
"4934","550713",12.5,1,2011-04-20,15159
"4935","550714",331.8,15,2011-04-20,15249
"4936","550723",115.43,18,2011-04-20,17454
"4937","550750",280.65,17,2011-04-20,13632
"4938","550755",103.3,5,2011-04-20,17548
"4939","550756",29.7,2,2011-04-20,14148
"4940","550764",69.95,11,2011-04-20,14527
"4941","550765",151.36,9,2011-04-20,16103
"4942","550766",198.55,13,2011-04-20,17463
"4943","550767",200.88,15,2011-04-20,14776
"4944","550768",152.06,18,2011-04-20,15039
"4945","550769",112.35,7,2011-04-20,15984
"4946","550772",29.7,1,2011-04-20,17856
"4947","550773",319.59,19,2011-04-20,17567
"4948","550774",461.5,27,2011-04-20,14626
"4949","550775",775.96,48,2011-04-20,15805
"4950","550776",140.85,9,2011-04-20,15805
"4951","550777",307.16,24,2011-04-20,16558
"4952","550778",347.53,22,2011-04-20,14868
"4953","550779",120,4,2011-04-20,17511
"4954","550781",218.18,13,2011-04-20,13097
"4955","550782",29.5,1,2011-04-20,18246
"4956","550783",313.24,20,2011-04-20,13485
"4957","550784",331.08,20,2011-04-20,13269
"4958","550785",236.43,26,2011-04-20,15517
"4959","550796",128.41,19,2011-04-20,17211
"4960","550797",23.52,3,2011-04-20,12901
"4961","550798",38.1,2,2011-04-20,15290
"4962","550799",310.02,18,2011-04-20,17115
"4963","550802",307.46,18,2011-04-20,17120
"4964","550803",183.45,20,2011-04-20,18177
"4965","550804",329.24,19,2011-04-20,16676
"4966","550805",245.63,15,2011-04-20,13162
"4967","550806",236.88,16,2011-04-20,14334
"4968","550811",57.9,3,2011-04-20,16011
"4969","550817",82.13,16,2011-04-20,17946
"4970","550818",106.09,12,2011-04-20,15912
"4971","550819",400.16,70,2011-04-20,17530
"4972","550820",268.78,16,2011-04-21,13148
"4973","550821",73.5,23,2011-04-21,12506
"4974","550822",98.1,6,2011-04-21,14001
"4975","550823",30.3,2,2011-04-21,16133
"4976","550824",8.25,1,2011-04-21,18177
"4977","550826",199.2,12,2011-04-21,17158
"4978","550827",227.75,12,2011-04-21,12670
"4979","550828",65.7,11,2011-04-21,17315
"4980","550829",293.2,50,2011-04-21,17841
"4981","550830",135.15,9,2011-04-21,13534
"4982","550831",171.2,10,2011-04-21,13534
"4983","550832",91.4,5,2011-04-21,17588
"4984","550833",24.75,3,2011-04-21,15860
"4985","550834",162.02,25,2011-04-21,14730
"4986","550835",626.17,78,2011-04-21,15034
"4987","550836",572.25,35,2011-04-21,14759
"4988","550837",199.75,16,2011-04-21,15034
"4989","550838",121.11,24,2011-04-21,14577
"4990","550885",335,19,2011-04-21,16185
"4991","550890",187.95,26,2011-04-21,14711
"4992","550899",816.84,52,2011-04-21,13505
"4993","550900",221.74,9,2011-04-21,16553
"4994","550901",257.89,18,2011-04-21,13389
"4995","550906",764.08,47,2011-04-21,14298
"4996","550911",930.68,55,2011-04-21,12354
"4997","550912",246.15,13,2011-04-21,13267
"4998","550913",302.55,21,2011-04-21,17631
"4999","550914",165.8,11,2011-04-21,17061
"5000","550915",133.59,30,2011-04-21,13263
"5001","550916",139.35,6,2011-04-21,17718
"5002","550918",295.55,18,2011-04-21,17630
"5003","550919",19.5,1,2011-04-21,14735
"5004","550921",566.02,34,2011-04-21,14770
"5005","550923",45.45,3,2011-04-21,13748
"5006","550925",196.75,12,2011-04-21,17061
"5007","550936",50.4,3,2011-04-21,13495
"5008","550938",193.08,12,2011-04-21,16019
"5009","550939",275.29,17,2011-04-21,16146
"5010","550941",278.96,44,2011-04-21,17109
"5011","550942",225.15,13,2011-04-21,16587
"5012","550944",63.95,6,2011-04-21,17109
"5013","550946",167.1,11,2011-04-21,12708
"5014","550949",8.97,4,2011-04-21,17961
"5015","550955",318.78,20,2011-04-21,14189
"5016","550956",245.31,39,2011-04-21,17179
"5017","550957",117.68,56,2011-04-21,18283
"5018","550958",252.23,15,2011-04-21,15281
"5019","550960",180.1,11,2011-04-21,12622
"5020","550964",194.1,13,2011-04-21,15856
"5021","550965",78.75,9,2011-04-21,16750
"5022","550967",47.4,3,2011-04-21,12971
"5023","550968",674.23,39,2011-04-21,14961
"5024","550971",184.64,11,2011-04-21,13482
"5025","550972",99.63,22,2011-04-21,14031
"5026","550973",150.65,8,2011-04-21,14031
"5027","550974",173.46,11,2011-04-21,13862
"5028","550978",226.38,16,2011-04-21,13983
"5029","550988",309,19,2011-04-21,14231
"5030","550989",255.69,29,2011-04-21,13969
"5031","550991",15,1,2011-04-21,14060
"5032","550992",126.32,14,2011-04-21,14512
"5033","550993",476.8,32,2011-04-21,15810
"5034","550994",481.4,37,2011-04-21,14562
"5035","550995",154.6,11,2011-04-26,16722
"5036","550996",83.32,4,2011-04-26,16681
"5037","550997",455.01,31,2011-04-26,17735
"5038","550998",13.2,1,2011-04-26,12414
"5039","550999",173.9,10,2011-04-26,17670
"5040","551000",111.6,6,2011-04-26,18172
"5041","551001",17.7,1,2011-04-26,13408
"5042","551002",413.46,24,2011-04-26,16834
"5043","551003",152.73,20,2011-04-26,16456
"5044","551011",25.5,1,2011-04-26,17090
"5045","551013",155.4,10,2011-04-26,15108
"5046","551014",1881.24,126,2011-04-26,13209
"5047","551016",295.65,22,2011-04-26,17975
"5048","551028",308.73,19,2011-04-26,13842
"5049","551033",191.54,18,2011-04-26,15039
"5050","551035",382.74,23,2011-04-26,15065
"5051","551054",315.98,18,2011-04-26,12429
"5052","551055",70.56,7,2011-04-26,15903
"5053","551056",285.37,56,2011-04-26,16442
"5054","551057",285.04,41,2011-04-26,16942
"5055","551058",110.52,31,2011-04-26,14606
"5056","551059",310.23,23,2011-04-26,13668
"5057","551060",2.1,1,2011-04-26,16356
"5058","551085",290.87,19,2011-04-26,14854
"5059","551088",378.05,23,2011-04-26,14640
"5060","551124",123,7,2011-04-26,15738
"5061","551125",259.23,16,2011-04-26,17277
"5062","551133",15,1,2011-04-26,16656
"5063","551134",460.59,41,2011-04-26,16729
"5064","551135",7.25,1,2011-04-26,16729
"5065","551136",465.52,31,2011-04-26,15301
"5066","551137",172.75,45,2011-04-26,15581
"5067","551141",22.5,1,2011-04-26,17061
"5068","551142",388.15,54,2011-04-26,17613
"5069","551143",103.3,6,2011-04-26,13092
"5070","551147",274.86,15,2011-04-26,14210
"5071","551148",10.2,1,2011-04-26,15939
"5072","551149",34.81,4,2011-04-26,13184
"5073","551150",88,5,2011-04-26,18144
"5074","551152",327.06,78,2011-04-26,13230
"5075","551158",318.58,37,2011-04-26,16823
"5076","551159",147.6,9,2011-04-26,16203
"5077","551160",938.92,65,2011-04-26,15237
"5078","551161",277.67,17,2011-04-26,18183
"5079","551162",87.24,5,2011-04-26,12901
"5080","551163",125.14,27,2011-04-26,12573
"5081","551164",20.4,5,2011-04-26,17262
"5082","551170",259.3,14,2011-04-26,15145
"5083","551171",282.7,61,2011-04-26,13263
"5084","551172",111.76,12,2011-04-26,17854
"5085","551182",107.28,8,2011-04-27,14282
"5086","551183",84.9,5,2011-04-27,17692
"5087","551186",25.2,1,2011-04-27,17857
"5088","551188",37.6,2,2011-04-27,15898
"5089","551192",414.12,30,2011-04-27,16188
"5090","551193",192.45,36,2011-04-27,17954
"5091","551194",114.84,18,2011-04-27,14606
"5092","551197",52.4,8,2011-04-27,14078
"5093","551198",48.88,3,2011-04-27,13694
"5094","551199",342.24,23,2011-04-27,13018
"5095","551200",13.5,4,2011-04-27,17069
"5096","551202",15.3,1,2011-04-27,17436
"5097","551211",69.25,4,2011-04-27,13113
"5098","551218",167.92,20,2011-04-27,18077
"5099","551247",99.15,6,2011-04-27,15640
"5100","551250",261.24,63,2011-04-27,17841
"5101","551258",418.6,24,2011-04-27,12621
"5102","551262",77.91,9,2011-04-27,14527
"5103","551268",169.87,25,2011-04-27,16965
"5104","551269",790.47,48,2011-04-27,12840
"5105","551270",524.52,62,2011-04-27,15891
"5106","551271",123.55,8,2011-04-27,17187
"5107","551272",29.88,1,2011-04-27,17530
"5108","551273",106.92,6,2011-04-27,14051
"5109","551274",193.74,13,2011-04-27,14235
"5110","551275",506.38,30,2011-04-27,13285
"5111","551276",219.01,34,2011-04-27,16016
"5112","551277",422.6,64,2011-04-27,13637
"5113","551278",81,5,2011-04-27,12483
"5114","551280",89.1,7,2011-04-27,16016
"5115","551281",126.74,16,2011-04-27,13571
"5116","551282",223.33,31,2011-04-27,16919
"5117","551283",510.81,65,2011-04-27,16755
"5118","551284",253.94,47,2011-04-27,15005
"5119","551286",68.1,4,2011-04-27,13767
"5120","551287",15.4,3,2011-04-27,17961
"5121","551289",109.36,6,2011-04-27,18226
"5122","551291",684.86,36,2011-04-27,14298
"5123","551292",58,2,2011-04-27,14298
"5124","551293",392.64,27,2011-04-27,14298
"5125","551294",124.06,7,2011-04-27,13468
"5126","551299",15,1,2011-04-27,17530
"5127","551301",378.2,18,2011-04-27,17675
"5128","551305",337.36,23,2011-04-27,16145
"5129","551315",215.36,14,2011-04-27,17725
"5130","551332",120.41,8,2011-04-27,13078
"5131","551334",5.9,2,2011-04-27,17991
"5132","551337",145.91,18,2011-04-27,16418
"5133","551338",5.11,2,2011-04-27,15581
"5134","551341",28.05,2,2011-04-28,15189
"5135","551342",276.7,18,2011-04-28,16099
"5136","551343",73.9,4,2011-04-28,16187
"5137","551344",162.9,7,2011-04-28,16187
"5138","551345",38.8,3,2011-04-28,14646
"5139","551346",417.24,27,2011-04-28,12362
"5140","551347",104.35,9,2011-04-28,15768
"5141","551349",371.4,25,2011-04-28,14740
"5142","551350",66.6,3,2011-04-28,16672
"5143","551351",1644.14,80,2011-04-28,14298
"5144","551352",231.72,15,2011-04-28,16637
"5145","551383",84.5,5,2011-04-28,17460
"5146","551384",45.9,3,2011-04-28,15223
"5147","551385",198.75,22,2011-04-28,16814
"5148","551387",163.25,8,2011-04-28,14240
"5149","551389",107.1,6,2011-04-28,12437
"5150","551390",259.45,14,2011-04-28,15143
"5151","551391",90.6,10,2011-04-28,15514
"5152","551392",160.95,10,2011-04-28,13229
"5153","551393",34.8,2,2011-04-28,14973
"5154","551395",112.32,10,2011-04-28,14271
"5155","551396",234.7,13,2011-04-28,17720
"5156","551397",161.85,12,2011-04-28,15952
"5157","551398",292.9,21,2011-04-28,12417
"5158","551399",224.94,26,2011-04-28,17874
"5159","551400",462.96,28,2011-04-28,17160
"5160","551401",6,2,2011-04-28,17874
"5161","551412",172.25,19,2011-04-28,15508
"5162","551413",64.02,4,2011-04-28,16227
"5163","551414",1344.85,80,2011-04-28,15622
"5164","551415",44.7,2,2011-04-28,15622
"5165","551416",23.8,1,2011-04-28,17874
"5166","551417",372.67,26,2011-04-28,15632
"5167","551418",112.25,16,2011-04-28,17893
"5168","551420",320.9,15,2011-04-28,17068
"5169","551421",49.5,5,2011-04-28,14077
"5170","551424",16.95,1,2011-04-28,12748
"5171","551426",374,26,2011-04-28,14022
"5172","551427",94.92,5,2011-04-28,14735
"5173","551428",158.96,8,2011-04-28,13499
"5174","551436",130.67,34,2011-04-28,16904
"5175","551437",152.8,11,2011-04-28,13725
"5176","551438",103.44,5,2011-04-28,13408
"5177","551439",257.32,14,2011-04-28,14758
"5178","551440",173.43,60,2011-04-28,15311
"5179","551445",28.45,2,2011-04-28,17991
"5180","551462",245.28,18,2011-04-28,15210
"5181","551467",72.98,5,2011-04-28,12600
"5182","551469",15.27,6,2011-04-28,18037
"5183","551470",112.96,7,2011-04-28,16782
"5184","551471",275.54,63,2011-04-28,16370
"5185","551507",340.72,22,2011-04-28,18272
"5186","551514",18,2,2011-04-28,17874
"5187","551515",59.88,3,2011-05-01,15606
"5188","551516",596.01,66,2011-05-01,14800
"5189","551517",204.24,48,2011-05-01,16931
"5190","551518",244.95,25,2011-05-01,15708
"5191","551519",236.75,13,2011-05-01,14304
"5192","551520",153.86,21,2011-05-01,13301
"5193","551524",220.89,20,2011-05-01,16401
"5194","551525",242.25,18,2011-05-01,14667
"5195","551527",352.51,32,2011-05-01,14395
"5196","551528",116.09,8,2011-05-01,12841
"5197","551529",376.45,23,2011-05-01,12524
"5198","551530",2.1,1,2011-05-01,12748
"5199","551531",619.37,58,2011-05-01,15376
"5200","551532",313.26,20,2011-05-01,16554
"5201","551533",164.86,38,2011-05-01,15407
"5202","551534",96.76,5,2011-05-01,14655
"5203","551535",64.95,4,2011-05-01,17615
"5204","551539",204.68,12,2011-05-03,12598
"5205","551542",270.8,16,2011-05-03,14732
"5206","551543",134.8,8,2011-05-03,16055
"5207","551544",252.2,13,2011-05-03,12683
"5208","551545",24.9,1,2011-05-03,12683
"5209","551546",216.52,12,2011-05-03,18062
"5210","551548",446.62,28,2011-05-03,14149
"5211","551549",248.25,15,2011-05-03,17501
"5212","551550",40.35,3,2011-05-03,17501
"5213","551555",39.75,2,2011-05-03,17315
"5214","551556",150.32,10,2011-05-03,14191
"5215","551558",295.26,80,2011-05-03,17841
"5216","551560",35.22,4,2011-05-03,16133
"5217","551561",243.62,15,2011-05-03,17422
"5218","551563",26.46,2,2011-05-03,16210
"5219","551564",499.25,32,2011-05-03,16609
"5220","551566",19.5,1,2011-05-03,13113
"5221","551576",21.6,1,2011-05-03,17857
"5222","551584",450.52,29,2011-05-03,15620
"5223","551599",312.49,17,2011-05-03,15696
"5224","551603",349.5,22,2011-05-03,16745
"5225","551616",157.75,38,2011-05-03,15048
"5226","551623",97.55,8,2011-05-03,12843
"5227","551647",62.28,4,2011-05-03,13089
"5228","551650",683.52,45,2011-05-03,13089
"5229","551651",8.5,1,2011-05-03,14800
"5230","551652",32.24,3,2011-05-03,12643
"5231","551653",191.7,11,2011-05-03,13282
"5232","551654",19.9,1,2011-05-03,16837
"5233","551655",115.95,20,2011-05-03,17757
"5234","551656",571.5,36,2011-05-03,14911
"5235","551657",494.01,30,2011-05-03,14911
"5236","551658",332.44,25,2011-05-03,16746
"5237","551660",71.26,5,2011-05-03,15271
"5238","551661",63.91,4,2011-05-03,15656
"5239","551662",86.97,5,2011-05-03,16210
"5240","551665",311.5,20,2011-05-03,17442
"5241","551686",274.99,20,2011-05-03,13668
"5242","551687",139.95,10,2011-05-03,14135
"5243","551688",179.51,10,2011-05-03,14107
"5244","551693",303.61,22,2011-05-03,15582
"5245","551696",431.98,25,2011-05-03,14110
"5246","551698",15,1,2011-05-03,13694
"5247","551702",177,11,2011-05-03,13014
"5248","551713",275.93,19,2011-05-03,16230
"5249","551714",173.08,16,2011-05-03,16806
"5250","551715",271.38,17,2011-05-03,13102
"5251","551717",257.86,57,2011-05-03,13263
"5252","551720",76.65,4,2011-05-03,18146
"5253","551721",153.75,30,2011-05-03,14711
"5254","551724",209.99,50,2011-05-03,15976
"5255","551727",569.55,38,2011-05-04,14245
"5256","551728",92,7,2011-05-04,12720
"5257","551729",20.8,1,2011-05-04,12720
"5258","551730",32.46,3,2011-05-04,16539
"5259","551731",424.42,28,2011-05-04,14307
"5260","551733",192.82,12,2011-05-04,13012
"5261","551734",465.99,33,2011-05-04,18178
"5262","551739",141.94,43,2011-05-04,18118
"5263","551747",158.22,9,2011-05-04,14298
"5264","551774",109.38,29,2011-05-04,14606
"5265","551775",744.4,46,2011-05-04,12886
"5266","551776",190.04,39,2011-05-04,13268
"5267","551791",91.04,10,2011-05-04,13220
"5268","551810",231.27,43,2011-05-04,15719
"5269","551811",305.65,27,2011-05-04,15039
"5270","551812",245.14,18,2011-05-04,15527
"5271","551813",189.38,12,2011-05-04,18065
"5272","551814",95.8,6,2011-05-04,18065
"5273","551815",77.1,4,2011-05-04,18065
"5274","551816",271.83,32,2011-05-04,15906
"5275","551817",172.77,21,2011-05-04,17974
"5276","551818",131.34,6,2011-05-04,12569
"5277","551820",281.2,16,2011-05-04,12645
"5278","551821",270.02,27,2011-05-04,16942
"5279","551822",78.8,7,2011-05-04,13524
"5280","551823",55.7,6,2011-05-04,17955
"5281","551824",442.9,32,2011-05-04,15128
"5282","551825",22.9,2,2011-05-04,16942
"5283","551826",8.4,2,2011-05-04,17955
"5284","551832",9.36,1,2011-05-04,15987
"5285","551833",230.63,16,2011-05-04,16779
"5286","551834",75.66,6,2011-05-04,16610
"5287","551835",378.54,23,2011-05-04,17646
"5288","551836",48.35,3,2011-05-04,17394
"5289","551839",45.02,4,2011-05-04,15311
"5290","551840",12.5,1,2011-05-04,15144
"5291","551842",192.98,12,2011-05-04,16678
"5292","551843",252.1,16,2011-05-04,16094
"5293","551844",78.64,10,2011-05-04,14173
"5294","551845",17.14,8,2011-05-04,17961
"5295","551846",301.5,17,2011-05-04,13047
"5296","551849",469.66,25,2011-05-04,16258
"5297","551850",302.47,18,2011-05-04,13731
"5298","551852",218.7,12,2011-05-04,14948
"5299","551854",58.8,3,2011-05-04,13576
"5300","551855",516.7,54,2011-05-04,12836
"5301","551856",72.72,4,2011-05-04,15027
"5302","551857",279.5,17,2011-05-04,13037
"5303","551858",97.41,15,2011-05-04,18041
"5304","551859",190.23,13,2011-05-04,14336
"5305","551860",110.64,16,2011-05-04,15508
"5306","551862",13.45,2,2011-05-04,17384
"5307","551868",374.26,28,2011-05-04,12540
"5308","551869",342.6,29,2011-05-04,16767
"5309","551870",56.9,12,2011-05-04,17811
"5310","551872",166.8,9,2011-05-04,12955
"5311","551874",17.7,1,2011-05-05,16422
"5312","551876",249.8,14,2011-05-05,14867
"5313","551878",17.7,1,2011-05-05,15129
"5314","551880",204.52,13,2011-05-05,17374
"5315","551881",20.4,1,2011-05-05,13784
"5316","551882",108.95,7,2011-05-05,13873
"5317","551883",133.2,5,2011-05-05,13762
"5318","551884",206.16,13,2011-05-05,16109
"5319","551885",309.84,23,2011-05-05,16700
"5320","551886",129.18,7,2011-05-05,12569
"5321","551887",160.5,9,2011-05-05,12593
"5322","551889",87.6,8,2011-05-05,18198
"5323","551890",99.3,5,2011-05-05,14340
"5324","551891",186.86,17,2011-05-05,17429
"5325","551893",188.9,11,2011-05-05,17675
"5326","551894",29.55,2,2011-05-05,12971
"5327","551895",10.2,1,2011-05-05,12877
"5328","551896",139.36,8,2011-05-05,13711
"5329","551897",49.5,3,2011-05-05,13711
"5330","551902",20.4,1,2011-05-05,17512
"5331","551907",37.75,2,2011-05-05,16027
"5332","551944",72.13,15,2011-05-05,14553
"5333","551945",15,1,2011-05-05,16714
"5334","551950",285.06,21,2011-05-05,14911
"5335","551953",593.72,37,2011-05-05,13448
"5336","551954",93.62,9,2011-05-05,14515
"5337","551956",236.47,43,2011-05-05,15021
"5338","551957",53.54,7,2011-05-05,16949
"5339","551958",263.24,22,2011-05-05,13883
"5340","551959",112.63,7,2011-05-05,13883
"5341","551960",400.41,24,2011-05-05,18239
"5342","551961",304.9,17,2011-05-05,13883
"5343","551962",123.75,5,2011-05-05,17955
"5344","551963",212.3,15,2011-05-05,13266
"5345","551966",369.95,64,2011-05-05,15356
"5346","551967",125.86,7,2011-05-05,16457
"5347","551977",42,2,2011-05-05,15061
"5348","551978",32.7,2,2011-05-05,17527
"5349","551979",10.2,1,2011-05-05,14199
"5350","551980",31.8,2,2011-05-05,17849
"5351","551982",916.31,101,2011-05-05,15023
"5352","551983",562.29,34,2011-05-05,17735
"5353","551984",218.46,16,2011-05-05,15841
"5354","551985",149.97,11,2011-05-05,12395
"5355","551986",239.52,20,2011-05-05,13888
"5356","551987",250.47,43,2011-05-05,15005
"5357","551988",154.8,11,2011-05-05,12576
"5358","551989",20.4,1,2011-05-05,14423
"5359","551991",49.56,9,2011-05-05,14697
